% Glass Activity Database

@RELATION activity 

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE std NUMERIC
@ATTRIBUTE rms NUMERIC
@ATTRIBUTE xmean NUMERIC
@ATTRIBUTE xstd NUMERIC
@ATTRIBUTE xrms NUMERIC
@ATTRIBUTE ymean NUMERIC
@ATTRIBUTE ystd NUMERIC
@ATTRIBUTE yrms NUMERIC
@ATTRIBUTE zmean NUMERIC
@ATTRIBUTE zstd NUMERIC
@ATTRIBUTE zrms NUMERIC
@ATTRIBUTE class {sitting,standing,walking,running,driving}

@DATA
 9.7829,  0.0964,  9.7834,  0.9360,  0.1842,  0.9539,  9.5533,  0.1171,  9.5540,  1.8398,  0.3761,  1.8778, sitting
 9.7834,  0.0905,  9.7838,  1.0897,  0.2054,  1.1089,  9.5218,  0.0990,  9.5223,  1.9403,  0.2337,  1.9543, sitting
 9.7847,  0.0607,  9.7849,  1.1165,  0.1224,  1.1232,  9.5291,  0.0606,  9.5293,  1.9152,  0.0823,  1.9170, sitting
 9.7828,  0.0612,  9.7830,  0.9577,  0.1192,  0.9651,  9.5394,  0.0634,  9.5396,  1.9384,  0.1160,  1.9419, sitting
 9.7822,  0.0625,  9.7824,  0.8861,  0.0751,  0.8893,  9.5324,  0.0658,  9.5327,  2.0055,  0.1070,  2.0084, sitting
 9.7825,  0.0662,  9.7827,  0.9339,  0.0890,  0.9381,  9.5485,  0.0719,  9.5487,  1.8976,  0.2045,  1.9086, sitting
 9.8552,  0.0581,  9.8554,  0.9873,  0.0469,  0.9884,  9.3943,  0.0605,  9.3945,  2.8095,  0.0375,  2.8097, sitting
 9.8532,  0.0529,  9.8533,  0.9865,  0.0385,  0.9872,  9.3978,  0.0532,  9.3979,  2.7912,  0.0311,  2.7914, sitting
 9.8506,  0.0537,  9.8508,  0.9970,  0.0407,  0.9978,  9.3905,  0.0537,  9.3906,  2.8030,  0.0317,  2.8032, sitting
 9.8476,  0.0500,  9.8477,  1.0008,  0.0363,  1.0015,  9.3839,  0.0499,  9.3840,  2.8132,  0.0263,  2.8133, sitting
 9.8461,  0.0466,  9.8462,  0.9959,  0.0320,  0.9964,  9.3843,  0.0468,  9.3844,  2.8085,  0.0251,  2.8086, sitting
 9.8433,  0.0435,  9.8434,  0.9965,  0.0325,  0.9970,  9.3842,  0.0438,  9.3843,  2.7990,  0.0241,  2.7991, sitting
 9.8410,  0.0458,  9.8411,  0.9987,  0.0314,  0.9992,  9.3822,  0.0458,  9.3823,  2.7964,  0.0241,  2.7965, sitting
 9.8395,  0.0480,  9.8396,  1.0048,  0.0339,  1.0054,  9.3785,  0.0481,  9.3786,  2.8013,  0.0258,  2.8015, sitting
 9.8374,  0.0504,  9.8375,  1.0135,  0.0355,  1.0141,  9.3664,  0.0513,  9.3666,  2.8310,  0.0398,  2.8312, sitting
 9.8355,  0.0504,  9.8357,  1.0204,  0.0348,  1.0209,  9.3468,  0.0513,  9.3469,  2.8864,  0.0413,  2.8867, sitting
 9.8330,  0.0459,  9.8331,  1.0227,  0.0342,  1.0232,  9.3395,  0.0457,  9.3396,  2.9007,  0.0313,  2.9009, sitting
 9.8315,  0.0440,  9.8316,  1.0159,  0.0330,  1.0164,  9.3477,  0.0445,  9.3478,  2.8713,  0.0302,  2.8715, sitting
 9.8303,  0.0467,  9.8304,  1.0090,  0.0317,  1.0095,  9.3518,  0.0468,  9.3519,  2.8563,  0.0262,  2.8565, sitting
 9.8277,  0.0479,  9.8278,  1.0117,  0.0330,  1.0123,  9.3481,  0.0481,  9.3482,  2.8585,  0.0262,  2.8586, sitting
 9.8256,  0.0487,  9.8258,  1.0201,  0.0336,  1.0206,  9.3463,  0.0493,  9.3465,  2.8542,  0.0258,  2.8544, sitting
 9.8243,  0.0519,  9.8245,  1.0293,  0.0351,  1.0299,  9.3447,  0.0518,  9.3449,  2.8517,  0.0287,  2.8519, sitting
 9.8229,  0.0516,  9.8230,  1.0318,  0.0368,  1.0325,  9.3402,  0.0513,  9.3403,  2.8605,  0.0307,  2.8606, sitting
 9.8216,  0.0500,  9.8217,  1.0312,  0.0359,  1.0318,  9.3352,  0.0498,  9.3354,  2.8724,  0.0289,  2.8726, sitting
 9.8197,  0.0597,  9.8199,  1.0320,  0.0438,  1.0329,  9.3303,  0.0616,  9.3305,  2.8818,  0.0307,  2.8820, sitting
 9.8207,  0.0456,  9.8208,  0.0864,  0.0816,  0.1188,  9.7837,  0.0459,  9.7838,  0.8410,  0.0665,  0.8436, sitting
 9.8200,  0.0323,  9.8201,  0.0330,  0.0404,  0.0521,  9.7830,  0.0325,  9.7831,  0.8491,  0.0484,  0.8505, sitting
 9.8183,  0.0312,  9.8183,  0.0043,  0.0397,  0.0399,  9.7864,  0.0316,  9.7864,  0.7865,  0.0720,  0.7898, sitting
 9.8178,  0.0315,  9.8179, -0.0070,  0.0359,  0.0365,  9.7921,  0.0319,  9.7921,  0.7068,  0.0643,  0.7097, sitting
 9.8178,  0.0314,  9.8179,  0.0081,  0.0377,  0.0385,  9.7965,  0.0316,  9.7966,  0.6441,  0.0455,  0.6457, sitting
 9.8175,  0.0311,  9.8176,  0.0144,  0.0369,  0.0396,  9.7989,  0.0312,  9.7990,  0.6012,  0.0418,  0.6027, sitting
 9.8172,  0.0310,  9.8172, -0.0053,  0.0375,  0.0378,  9.8013,  0.0310,  9.8014,  0.5545,  0.0457,  0.5564, sitting
 9.8167,  0.0307,  9.8168, -0.0403,  0.0389,  0.0560,  9.8050,  0.0308,  9.8051,  0.4710,  0.0655,  0.4755, sitting
 9.8160,  0.0304,  9.8160, -0.0759,  0.0387,  0.0851,  9.8075,  0.0303,  9.8075,  0.3927,  0.0692,  0.3987, sitting
 9.8154,  0.0303,  9.8154, -0.1118,  0.0438,  0.1200,  9.8101,  0.0304,  9.8101,  0.2770,  0.1144,  0.2997, sitting
 9.8160,  0.0310,  9.8161, -0.1660,  0.0471,  0.1725,  9.8134,  0.0309,  9.8135,  0.0894,  0.1139,  0.1448, sitting
 9.8169,  0.0329,  9.8170, -0.2231,  0.0585,  0.2306,  9.8139,  0.0327,  9.8139, -0.0447,  0.0707,  0.0836, sitting
 9.8158,  0.0647,  9.8160, -0.2119,  0.1372,  0.2524,  9.8115,  0.0645,  9.8117,  0.0001,  0.1425,  0.1423, sitting
 9.8137,  0.0725,  9.8139, -0.1035,  0.1492,  0.1814,  9.8039,  0.0726,  9.8042,  0.3049,  0.2556,  0.3977, sitting
 9.8131,  0.0866,  9.8135, -0.0979,  0.1072,  0.1451,  9.7984,  0.0857,  9.7988,  0.5024,  0.1199,  0.5165, sitting
 9.8116,  0.0814,  9.8119, -0.1161,  0.0922,  0.1482,  9.7926,  0.0806,  9.7929,  0.5744,  0.1433,  0.5919, sitting
 9.8097,  0.0403,  9.8098, -0.0363,  0.0509,  0.0624,  9.7823,  0.0406,  9.7824,  0.7258,  0.0711,  0.7293, sitting
 9.8087,  0.0424,  9.8088, -0.0038,  0.0436,  0.0438,  9.7749,  0.0427,  9.7750,  0.8111,  0.0501,  0.8127, sitting
 9.8077,  0.0433,  9.8078, -0.0057,  0.0486,  0.0489,  9.7702,  0.0432,  9.7703,  0.8542,  0.0434,  0.8553, sitting
